f,radius,time,bitstring_count
0.500000,5,0.006083,4
0.500000,5,0.006157,6
0.500000,5,0.007118,4
0.500000,5,0.006202,6
0.500000,5,0.006117,4
0.500000,5,0.006102,6
0.500000,5,0.025776,6
0.500000,5,0.006179,7
0.500000,5,0.006275,6
0.500000,5,0.006225,4
0.500000,5,0.006100,7
0.500000,5,0.006155,6
0.500000,5,0.006078,4
0.500000,5,0.006128,7
0.250000,5,0.006196,7
0.250000,5,0.006255,6
0.250000,5,0.007651,8
0.250000,5,0.006464,10
0.250000,5,0.006460,7
0.250000,5,0.006204,9
0.250000,5,0.006401,10
0.250000,5,0.006450,10
0.250000,5,0.006099,6
0.250000,5,0.006914,11
0.250000,5,0.006599,10
0.250000,5,0.006121,6
0.250000,5,0.006354,10
0.250000,5,0.006247,6
0.250000,5,0.006314,8
0.250000,5,0.006263,9
0.250000,5,0.006166,8
0.250000,5,0.006612,6
0.250000,5,0.010561,6
0.250000,5,0.006381,10
0.250000,5,0.006304,6
0.250000,5,0.006551,9
0.250000,5,0.006131,12
0.250000,5,0.019540,9
0.250000,5,0.006299,11
0.250000,5,0.006268,9
0.250000,5,0.006098,6
0.250000,5,0.006656,11
0.250000,5,0.010320,6
0.250000,5,0.006509,10
0.250000,5,0.006269,8
0.250000,5,0.006394,10
0.250000,5,0.006245,8
0.250000,5,0.006192,7
0.250000,5,0.006476,8
0.250000,5,0.006871,6
0.250000,5,0.006084,4
0.250000,5,0.006206,9
0.250000,5,0.006511,9
0.250000,5,0.006187,6
0.250000,5,0.022350,8
0.250000,5,0.006332,6
0.250000,5,0.006294,9
0.250000,5,0.006804,6
0.250000,5,0.014648,8
0.250000,5,0.006397,9
0.250000,5,0.006329,9
0.250000,5,0.006496,6
0.250000,5,0.006520,11
0.250000,5,0.006796,7
0.250000,5,0.006071,8
0.250000,5,0.006906,6
0.250000,5,0.006319,9
0.250000,5,0.006105,6
0.250000,5,0.006657,9
0.250000,5,0.007266,6
0.250000,5,0.017015,6
0.250000,5,0.007239,6
0.250000,5,0.006273,9
0.250000,5,0.022586,6
0.250000,5,0.006536,6
0.250000,5,0.006285,8
0.250000,5,0.020452,6
0.250000,5,0.017025,10
0.250000,5,0.007021,12
0.250000,5,0.006382,9
0.250000,5,0.013398,6
0.250000,5,0.006684,4
0.250000,5,0.006579,9
0.250000,5,0.007405,10
0.250000,5,0.006274,8
0.250000,5,0.018762,9
0.250000,5,0.006210,8
0.250000,5,0.006748,10
0.250000,5,0.006187,9
0.250000,5,0.006159,6
0.250000,5,0.006410,10
0.250000,5,0.011164,11
0.250000,5,0.006151,7
0.250000,5,0.015944,9
0.250000,5,0.006872,8
0.250000,5,0.008701,9
0.250000,5,0.006523,9
0.250000,5,0.006539,9
0.250000,5,0.029834,11
0.250000,5,0.006422,8
0.250000,5,0.007070,6
0.250000,5,0.006094,9
0.250000,5,0.006125,6
0.250000,5,0.006555,10
0.250000,5,0.006171,6
0.250000,5,0.006351,9
0.250000,5,0.006418,9
0.250000,5,0.006482,10
0.250000,5,0.005904,7
0.250000,5,0.006151,6
0.250000,5,0.006408,10
0.250000,5,0.006247,8
0.250000,5,0.006921,8
0.250000,5,0.006369,9
0.125000,5,0.006819,10
0.125000,5,0.006658,12
0.125000,5,0.006537,12
0.125000,5,0.007083,16
0.125000,5,0.006428,10
0.125000,5,0.006531,12
0.125000,5,0.007188,18
0.125000,5,0.006641,17
0.125000,5,0.007078,8
0.125000,5,0.006611,17
0.125000,5,0.006706,17
0.125000,5,0.006231,9
0.125000,5,0.007348,16
0.125000,5,0.006408,12
0.125000,5,0.022184,12
0.125000,5,0.006797,15
0.125000,5,0.006634,14
0.125000,5,0.006299,10
0.125000,5,0.006654,11
0.125000,5,0.006639,16
0.125000,5,0.019172,12
0.125000,5,0.006692,15
0.125000,5,0.006858,18
0.125000,5,0.006687,15
0.125000,5,0.006552,15
0.125000,5,0.006636,13
0.125000,5,0.006622,9
0.125000,5,0.006827,17
0.125000,5,0.006394,8
0.125000,5,0.006643,16
0.125000,5,0.006655,11
0.125000,5,0.006810,16
0.125000,5,0.006475,13
0.125000,5,0.008510,10
0.125000,5,0.009315,14
0.125000,5,0.006317,10
0.125000,5,0.006331,8
0.125000,5,0.006498,12
0.125000,5,0.006447,12
0.125000,5,0.006251,9
0.125000,5,0.006516,13
0.125000,5,0.006380,10
0.125000,5,0.006857,14
0.125000,5,0.006260,10
