f,radius,time,bitstring_count
0.125000,20,0.000208,11
0.125000,20,0.000214,11
0.125000,20,0.000209,11
0.125000,20,0.000205,11
0.125000,20,0.000210,11
0.125000,20,0.000205,11
0.125000,20,0.000234,11
0.125000,20,0.000241,11
0.125000,20,0.000212,11
0.125000,20,0.000203,11
0.125000,20,0.000202,11
0.062500,20,0.000646,19
0.062500,20,0.000454,19
0.062500,20,0.000481,19
0.062500,20,0.000446,19
0.062500,20,0.000442,19
0.062500,20,0.000454,19
0.062500,20,0.000434,19
0.062500,20,0.000454,19
0.062500,20,0.000460,19
0.062500,20,0.000912,19
0.062500,20,0.000484,19
0.062500,20,0.000445,19
0.062500,20,0.000424,19
0.062500,20,0.000422,19
0.062500,20,0.000415,19
0.062500,20,0.000412,19
0.062500,20,0.000409,19
0.062500,20,0.000389,19
0.062500,20,0.000374,19
0.062500,20,0.000377,19
0.062500,20,0.000365,19
0.062500,20,0.000582,19
0.062500,20,0.000413,19
0.062500,20,0.000376,19
0.062500,20,0.000376,19
0.062500,20,0.000373,19
0.062500,20,0.000385,19
0.062500,20,0.000368,19
0.062500,20,0.000376,19
0.062500,20,0.000369,19
0.000000,20,1.434901,2726
0.000000,20,1.429213,2726
0.000000,20,1.430757,2726
0.000000,20,1.429171,2726
0.000000,20,1.429199,2726
0.000000,20,1.432937,2726
0.000000,20,1.430236,2726
0.000000,20,1.429389,2726
0.000000,20,1.429595,2726
0.000000,20,1.433651,2726
0.000000,20,1.430881,2726
0.000000,20,1.425182,2726
0.000000,20,1.418571,2726
0.000000,20,1.427190,2726
0.000000,20,1.432677,2726
0.000000,20,1.425787,2726
0.000000,20,1.430313,2726
0.000000,20,1.423485,2726
0.000000,20,1.429899,2726
0.000000,20,1.428161,2726
0.000000,20,1.429172,2726
0.000000,20,1.432214,2726
0.000000,20,1.430574,2726
0.000000,20,1.424929,2726
0.000000,20,1.428965,2726
0.000000,20,1.431886,2726
0.000000,20,1.433742,2726
0.000000,20,1.436009,2726
0.000000,20,1.429911,2726
0.000000,20,1.434865,2726
1.000000,40,0.000198,4
1.000000,40,0.000102,4
1.000000,40,0.000111,4
1.000000,40,0.000105,4
1.000000,40,0.000098,4
1.000000,40,0.000101,4
1.000000,40,0.000102,4
1.000000,40,0.000100,4
1.000000,40,0.000100,4
1.000000,40,0.000103,4
1.000000,40,0.000102,4
1.000000,40,0.000095,4
1.000000,40,0.000101,4
1.000000,40,0.000094,4
1.000000,40,0.000099,4
1.000000,40,0.000133,4
1.000000,40,0.000106,4
1.000000,40,0.000117,4
1.000000,40,0.000118,4
1.000000,40,0.000119,4
1.000000,40,0.000122,4
1.000000,40,0.000120,4
1.000000,40,0.000129,4
1.000000,40,0.000118,4
1.000000,40,0.000116,4
1.000000,40,0.000151,4
1.000000,40,0.000119,4
1.000000,40,0.000116,4
1.000000,40,0.000126,4
1.000000,40,0.000117,4
0.500000,40,0.000222,5
0.500000,40,0.000128,5
0.500000,40,0.000121,5
0.500000,40,0.000127,5
0.500000,40,0.000120,5
0.500000,40,0.000131,5
0.500000,40,0.000121,5
0.500000,40,0.000125,5
0.500000,40,0.000115,5
0.500000,40,0.000128,5
0.500000,40,0.000119,5
0.500000,40,0.000117,5
0.500000,40,0.000132,5
0.500000,40,0.000145,5
0.500000,40,0.000145,5
0.500000,40,0.000147,5
0.500000,40,0.000143,5
0.500000,40,0.000143,5
0.500000,40,0.000148,5
0.500000,40,0.000146,5
0.500000,40,0.000148,5
0.500000,40,0.000150,5
0.500000,40,0.000148,5
0.500000,40,0.000141,5
0.500000,40,0.000172,5
0.500000,40,0.000621,5
0.500000,40,0.000169,5
0.500000,40,0.000149,5
0.500000,40,0.000144,5
0.500000,40,0.000142,5
0.250000,40,0.000247,8
0.250000,40,0.000149,8
0.250000,40,0.000156,8
0.250000,40,0.000152,8
0.250000,40,0.000150,8
0.250000,40,0.000170,8
0.250000,40,0.000174,8
0.250000,40,0.000165,8
0.250000,40,0.000178,8
0.250000,40,0.000174,8
0.250000,40,0.000175,8
0.250000,40,0.000168,8
0.250000,40,0.000177,8
0.250000,40,0.000173,8
0.250000,40,0.000169,8
0.250000,40,0.000173,8
0.250000,40,0.000182,8
0.250000,40,0.000190,8
0.250000,40,0.000172,8
0.250000,40,0.000173,8
0.250000,40,0.000174,8
0.250000,40,0.000672,8
0.250000,40,0.000183,8
0.250000,40,0.000166,8
0.250000,40,0.000165,8
0.250000,40,0.000164,8
0.250000,40,0.000165,8
0.250000,40,0.000163,8
0.250000,40,0.000160,8
0.250000,40,0.000159,8
0.125000,40,0.000443,11
0.125000,40,0.000315,11
0.125000,40,0.000317,11
0.125000,40,0.000301,11
0.125000,40,0.000290,11
0.125000,40,0.000257,11
0.125000,40,0.000260,11
0.125000,40,0.000271,11
0.125000,40,0.000261,11
0.125000,40,0.000257,11
0.125000,40,0.000265,11
0.125000,40,0.000252,11
0.125000,40,0.000258,11
0.125000,40,0.000290,11
0.125000,40,0.000258,11
0.125000,40,0.000255,11
0.125000,40,0.000880,11
0.125000,40,0.000283,11
0.125000,40,0.000272,11
0.125000,40,0.000262,11
0.125000,40,0.000255,11
0.125000,40,0.000248,11
0.125000,40,0.000244,11
0.125000,40,0.000251,11
0.125000,40,0.000256,11
0.125000,40,0.000244,11
0.125000,40,0.000253,11
0.125000,40,0.000244,11
0.125000,40,0.000243,11
0.125000,40,0.000245,11
0.062500,40,0.000454,18
0.062500,40,0.000418,18
0.062500,40,0.000416,18
0.062500,40,0.000410,18
0.062500,40,0.000403,18
0.062500,40,0.000410,18
0.062500,40,0.000402,18
0.062500,40,0.000414,18
0.062500,40,0.000428,18
0.062500,40,0.000406,18
0.062500,40,0.000926,18
0.062500,40,0.000423,18
0.062500,40,0.000396,18
0.062500,40,0.000392,18
0.062500,40,0.000384,18
0.062500,40,0.000383,18
0.062500,40,0.000383,18
0.062500,40,0.000385,18
0.062500,40,0.000372,18
0.062500,40,0.000344,18
0.062500,40,0.000354,18
0.062500,40,0.000339,18
0.062500,40,0.000354,18
0.062500,40,0.000740,18
0.062500,40,0.000409,18
0.062500,40,0.000381,18
0.062500,40,0.000353,18
0.062500,40,0.000344,18
0.062500,40,0.000351,18
0.062500,40,0.000355,18
0.000000,40,22.589537,10646
0.000000,40,22.563858,10646
0.000000,40,22.570771,10646
0.000000,40,22.639191,10646
0.000000,40,22.664919,10646
0.000000,40,22.595280,10646
0.000000,40,22.563120,10646
0.000000,40,22.615218,10646
0.000000,40,22.601834,10646
0.000000,40,22.651536,10646
0.000000,40,22.617975,10646
0.000000,40,22.601380,10646
0.000000,40,22.577580,10646
0.000000,40,22.593396,10646
0.000000,40,22.730133,10646
0.000000,40,22.685634,10646
0.000000,40,22.604755,10646
0.000000,40,22.540860,10646
0.000000,40,22.582238,10646
0.000000,40,22.622642,10646
0.000000,40,22.583758,10646
0.000000,40,22.696503,10646
0.000000,40,22.714494,10646
0.000000,40,22.641017,10646
0.000000,40,22.641587,10646
0.000000,40,22.641647,10646
0.000000,40,22.605639,10646
0.000000,40,22.573087,10646
0.000000,40,22.627022,10646
0.000000,40,22.506015,10646
